Date,Temp
2/1/20,44.6
2/2/20,50.5
2/3/20,59.18
2/4/20,62.14
2/5/20,63.7
2/6/20,62.52
2/7/20,40
2/8/20,37.1
2/9/20,43.2
2/10/20,46.8
2/11/20,62.66
2/12/20,61.62
2/13/20,59.08
2/14/20,42.4
2/15/20,43.3
2/16/20,44.8
2/17/20,48.4
2/18/20,56.9
2/19/20,52.8
2/20/20,42.5
2/21/20,40
2/22/20,42.6
2/23/20,48.1
2/24/20,47.4
2/25/20,58.18
2/26/20,48.4
2/27/20,40.1
2/28/20,42.7
3/1/20,50.3
3/2/20,52.2
3/3/20,63.4
3/4/20,56.4
3/5/20,51.2
3/6/20,49.4
3/7/20,45.8
3/8/20,51.2
3/9/20,57.78
3/10/20,59.4
3/11/20,61.88
3/12/20,64.1
3/13/20,65.3
3/14/20,64.14
3/15/20,61.98
3/16/20,55.3
3/17/20,58.98
3/18/20,63.38
3/19/20,64.4
3/20/20,66.14
3/21/20,63.64
3/22/20,55.2
3/23/20,55.9
3/24/20,64.32
3/25/20,64.74
3/26/20,62.5
3/27/20,65.92
3/28/20,74.2
3/29/20,72.4
3/30/20,64.66
3/31/20,57.7
4/1/20,51
4/2/20,56.28
4/3/20,61.16
4/4/20,63.84
4/5/20,64.92
4/6/20,65.1
4/7/20,65.46
4/8/20,65.6
4/9/20,65.54
4/10/20,57.3
4/11/20,57.56
4/12/20,61.02
4/13/20,64.76
4/14/20,58.82
4/15/20,51.9
4/16/20,57.82
4/17/20,60.48
4/18/20,62.66
4/19/20,52.2
4/20/20,61.44
4/21/20,62.36
4/22/20,61.4
4/23/20,58.8
4/24/20,63.72
4/25/20,63.48
4/26/20,60.16
4/27/20,59.26
4/28/20,63.08
4/29/20,63.26
4/30/20,57.7
5/1/20,60.46
5/2/20,63.6
5/3/20,66.06
5/4/20,66.8
5/5/20,74.5
5/6/20,62.02
5/7/20,58.3
5/8/20,57.8
5/9/20,54
5/10/20,59.52
5/11/20,60.44
5/12/20,60.74
5/13/20,63.92
5/14/20,65.68
5/15/20,65.9
5/16/20,66.76
5/17/20,74.7
5/18/20,71.1
5/19/20,65.74
5/20/20,59.6
5/21/20,62.16
5/22/20,73
5/23/20,75.7
5/24/20,76.5
5/25/20,74.4
5/26/20,70.4
5/27/20,69.7
5/28/20,74.7
5/29/20,75
5/30/20,77
5/31/20,66.88
6/1/20,73.7
6/2/20,75.7
6/3/20,78.3
6/4/20,78.9
6/5/20,75.1
6/6/20,76.6
6/7/20,77.3
6/8/20,78.5
6/9/20,77.4
6/10/20,76.4
6/11/20,75.9
6/12/20,76.7
6/13/20,78.2
6/14/20,72.5
6/15/20,65.66
6/16/20,64.62
6/17/20,64.42
6/18/20,66.34
6/19/20,76.9
6/20/20,79.5
6/21/20,77.8
6/22/20,75.4
6/23/20,77.2
6/24/20,75.2
6/25/20,74.4
6/26/20,75.8
6/27/20,74.8
6/28/20,81.2
6/29/20,82.2
6/30/20,77.4
7/1/20,74.9
7/2/20,78.8
7/3/20,82.8
7/4/20,81.3
7/5/20,82.7
7/6/20,77.4
7/7/20,78.6
7/8/20,79.4
