Date,Temp
2/1/20,38.2
2/2/20,39.5
2/3/20,42.2
2/4/20,41.8
2/5/20,39.5
2/6/20,38.2
2/7/20,38.5
2/8/20,30
2/9/20,29.1
2/10/20,44.2
2/11/20,41.9
2/12/20,41.2
2/13/20,38.6
2/14/20,27.3
2/15/20,21.6
2/16/20,38.5
2/17/20,40.7
2/18/20,38.6
2/19/20,41.4
2/20/20,30.4
2/21/20,25.8
2/22/20,38.9
2/23/20,44.8
2/24/20,48.9
2/25/20,46.7
2/26/20,45.3
2/27/20,43.3
2/28/20,33.5
3/1/20,25.9
3/2/20,39.5
3/3/20,50.7
3/4/20,46
3/5/20,43.3
3/6/20,37.9
3/7/20,35.8
3/8/20,42.9
3/9/20,57.92
3/10/20,54.62
3/11/20,46.9
3/12/20,39.8
3/13/20,47.5
3/14/20,45
3/15/20,38.6
3/16/20,31.3
3/17/20,38.1
3/18/20,42.9
3/19/20,40.6
3/20/20,54.56
3/21/20,43.3
3/22/20,30
3/23/20,34.3
3/24/20,40.7
3/25/20,39.8
3/26/20,39.8
3/27/20,52.3
3/28/20,44.3
3/29/20,41.1
3/30/20,39.5
3/31/20,36
4/1/20,37.5
4/2/20,41.6
4/3/20,43.2
4/4/20,40.6
4/5/20,44.6
4/6/20,51
4/7/20,52.1
4/8/20,45
4/9/20,44.4
4/10/20,42.1
4/11/20,44.2
4/12/20,48.4
4/13/20,56.3
4/14/20,51.7
4/15/20,45.5
4/16/20,40.7
4/17/20,42.1
4/18/20,37.1
4/19/20,48.5
4/20/20,45.9
4/21/20,43.2
4/22/20,38.6
4/23/20,44
4/24/20,42.4
4/25/20,46.8
4/26/20,44.1
4/27/20,40.1
4/28/20,41.3
4/29/20,44.9
4/30/20,45.7
5/1/20,53.3
5/2/20,58.96
5/3/20,63.1
5/4/20,61.5
5/5/20,50.5
5/6/20,46.1
5/7/20,52.7
5/8/20,49.4
5/9/20,39.9
5/10/20,47.4
5/11/20,50.7
5/12/20,48.3
5/13/20,49.6
5/14/20,59.08
5/15/20,61.42
5/16/20,60.52
5/17/20,55.7
5/18/20,53
5/19/20,50.7
5/20/20,51.4
5/21/20,59.44
5/22/20,64.12
5/23/20,58.9
5/24/20,49.7
5/25/20,50.8
5/26/20,59.42
5/27/20,65.54
5/28/20,66.08
5/29/20,73
