Date,Temp
2/1/20,53.1
2/2/20,55.96
2/3/20,20.7
2/4/20,10.2
2/5/20,11.3
2/6/20,27.5
2/7/20,25.4
2/8/20,29.7
2/9/20,23.6
2/10/20,19.5
2/11/20,19.1
2/12/20,25.7
2/13/20,16.6
2/14/20,32.9
2/15/20,28.4
2/16/20,33.9
2/17/20,30.5
2/18/20,24.4
2/19/20,18.4
2/20/20,17.3
2/21/20,32.2
2/22/20,40
2/23/20,35.7
2/24/20,33.5
2/25/20,21.9
2/26/20,27.8
2/27/20,39.4
2/28/20,42.8
3/1/20,35.8
3/2/20,33
3/3/20,40.6
3/4/20,47.6
3/5/20,37.6
3/6/20,52.32
3/7/20,55.56
3/8/20,56.22
3/9/20,45
3/10/20,47.2
3/11/20,54.26
3/12/20,42
3/13/20,34.5
3/14/20,36
3/15/20,42
3/16/20,43.3
3/17/20,43.8
3/18/20,50.1
3/19/20,33.4
3/20/20,20.7
3/21/20,31.4
3/22/20,39.9
3/23/20,44.5
3/24/20,47
3/25/20,51.3
3/26/20,40.1
3/27/20,35.3
3/28/20,38.3
3/29/20,40.2
3/30/20,45.2
3/31/20,51.8
4/1/20,54.6
4/2/20,25.6
4/3/20,28.6
4/4/20,42
4/5/20,55.34
4/6/20,58.52
4/7/20,59.02
4/8/20,55.7
4/9/20,44.6
4/10/20,57.28
4/11/20,57.66
4/12/20,23.8
4/13/20,20.1
4/14/20,30.3
4/15/20,39.4
4/16/20,26.6
4/17/20,33
4/18/20,45.6
4/19/20,47.2
4/20/20,50.8
4/21/20,54.78
4/22/20,53.9
4/23/20,57.38
4/24/20,47.6
4/25/20,50.5
4/26/20,59.82
4/27/20,60.84
4/28/20,59.54
4/29/20,55.96
4/30/20,62.02
5/1/20,63.62
5/2/20,56.4
5/3/20,58.46
5/4/20,56.7
5/5/20,54.24
5/6/20,56.62
5/7/20,58.18
5/8/20,47.4
5/9/20,50.1
5/10/20,49.4
5/11/20,40.5
5/12/20,55.14
5/13/20,60.22
5/14/20,58.24
5/15/20,57.8
5/16/20,58.72
5/17/20,58.54
5/18/20,63.06
5/19/20,65.26
5/20/20,65.5
5/21/20,60.2
5/22/20,62.7
5/23/20,62.06
5/24/20,49.7
5/25/20,51.8
5/26/20,59.7
5/27/20,62.72
5/28/20,61.74
5/29/20,64.22
5/30/20,65.68
5/31/20,65.52
6/1/20,67.34
6/2/20,67.04
6/3/20,65.8
6/4/20,66.64
6/5/20,67.76
6/6/20,66.58
6/7/20,65.08
6/8/20,60.36
6/9/20,55.44
6/10/20,60.1
6/11/20,63.72
6/12/20,65.8
6/13/20,65.74
6/14/20,78.7
6/15/20,67.54
6/16/20,68.06
6/17/20,66.7
6/18/20,60.94
6/19/20,59.5
6/20/20,63.22
6/21/20,65.3
6/22/20,64.44
6/23/20,65.34
6/24/20,66.66
6/25/20,66.78
6/26/20,64.5
6/27/20,66
6/28/20,77.9
6/29/20,67.44
6/30/20,64.68
7/1/20,65.28
7/2/20,67.2
7/3/20,67.04
7/4/20,66.1
7/5/20,66.06
7/6/20,67.16
7/7/20,83.5
7/8/20,67.7
7/9/20,67.44
7/10/20,68
7/11/20,79.2
7/12/20,81.6
7/13/20,79.7
7/14/20,65.54
7/15/20,65.12
7/16/20,67
7/17/20,68.12
7/18/20,82.9
7/19/20,66.76
7/20/20,78.3
7/21/20,66.12
7/22/20,66.42
7/23/20,79.7
7/24/20,75.6
7/25/20,66.3
7/26/20,66.18
7/27/20,65.2
7/28/20,65.66
7/29/20,67.02
7/30/20,64.7
7/31/20,64.8
8/1/20,65.78
8/2/20,65.66
8/3/20,66.26
8/4/20,67.06
8/5/20,66.52
8/6/20,66.9
8/7/20,81
8/8/20,81
8/9/20,82.2
8/10/20,66.46
8/11/20,80.3
8/12/20,66.84
8/13/20,67.56
8/14/20,67.56
8/15/20,66.72
8/16/20,67.92
8/17/20,80.4
8/18/20,83
8/19/20,78.5
8/20/20,67
8/21/20,67.28
8/22/20,79.3
8/23/20,80.4
8/24/20,82.1
8/25/20,83.5
8/26/20,77.7
8/27/20,67.36
8/28/20,65.48
8/29/20,63.1
8/30/20,66.66
8/31/20,60.6
9/1/20,62.34
9/2/20,64.7
9/3/20,65.24
9/4/20,66.08
9/5/20,67.68
9/6/20,80.8
9/7/20,63.94
9/8/20,35
9/9/20,35.5
9/10/20,44.8
9/11/20,55.7
9/12/20,61.06
9/13/20,63.02
9/14/20,64.46
9/15/20,65.78
9/16/20,62.3
9/17/20,63.06
9/18/20,63.54
9/19/20,66.44
9/20/20,65.3
9/21/20,64.18
9/22/20,65.12
9/23/20,65.32
9/24/20,65.42
9/25/20,66.42
9/26/20,66.08
9/27/20,48.7
9/28/20,49.8
9/29/20,59.86
9/30/20,60.04
10/1/20,55.42
10/2/20,59.82
10/3/20,53.1
10/4/20,60.8
10/5/20,62.9
10/6/20,61.02
10/7/20,62.8
10/8/20,61.74
10/9/20,64.46
10/10/20,63.14
10/11/20,59.5
10/12/20,57.04
10/13/20,61.18
10/14/20,60.66
10/15/20,41.1
10/16/20,51.36
10/17/20,61.04
10/18/20,38.7
10/19/20,48.2
