Date,CDD 50,% Estimated
2020-02-01,0,0
2020-02-02,0.2,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,1
2020-02-21,0,0
2020-02-22,0.4,0
2020-02-23,2.4,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0.3,0
2020-03-01,2.3,0
2020-03-02,0,0
2020-03-03,0.7,0
2020-03-04,1,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,5.1,0
2020-03-08,8.9,0
2020-03-09,1.4,0
2020-03-10,0,0
2020-03-11,1.4,0
2020-03-12,2.5,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,2.3,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0.1,0
2020-03-25,1.4,0
2020-03-26,1.9,0
2020-03-27,0,0
2020-03-28,3.1,0
2020-03-29,1.7,0
2020-03-30,4.5,0
2020-03-31,3.2,0
2020-04-01,4.9,0
2020-04-02,4.3,0
2020-04-03,0,0
2020-04-04,0,0
2020-04-05,3.2,0
2020-04-06,5.9,0
2020-04-07,17.1,0
2020-04-08,8.5,0
2020-04-09,0,0
2020-04-10,0.3,0
2020-04-11,2.7,0
2020-04-12,0,0
2020-04-13,0,0
2020-04-14,0,0
2020-04-15,0,0
2020-04-16,0,0
2020-04-17,0,0
2020-04-18,4.7,0
2020-04-19,3.8,0
2020-04-20,6.5,0
2020-04-21,3.9,0
2020-04-22,15.1,0
2020-04-23,11.8,0
2020-04-24,5.6,0
2020-04-25,6.6,0
2020-04-26,9.1,0
2020-04-27,15.4,0
2020-04-28,11.7,0
2020-04-29,5.5,0
2020-04-30,10.1,0
2020-05-01,15,0
2020-05-02,14.6,0
2020-05-03,13.2,0
2020-05-04,3.8,0
2020-05-05,0,0
2020-05-06,3.3,0
2020-05-07,4.9,0
2020-05-08,1.5,0
2020-05-09,5,0
2020-05-10,0.4,0
2020-05-11,2.1,0
2020-05-12,3.8,0
2020-05-13,2.2,0
2020-05-14,10.2,0
2020-05-15,14.6,0
2020-05-16,15.8,0
2020-05-17,7.5,0
2020-05-18,5.2,0
2020-05-19,7.1,0
2020-05-20,8.9,0
2020-05-21,8.9,0
2020-05-22,14.5,0
2020-05-23,17.2,0
2020-05-24,19.1,0
2020-05-25,20.5,0
2020-05-26,20.2,0
2020-05-27,20.9,0
2020-05-28,20.8,0
2020-05-29,14.2,0
2020-05-30,14.7,0
2020-05-31,15.2,0
2020-06-01,24.6,0
2020-06-02,29.8,0
2020-06-03,29.2,0
2020-06-04,29,0
2020-06-05,28.5,0
2020-06-06,28.4,0
2020-06-07,30.3,0
2020-06-08,31.4,0
2020-06-09,22.3,0
2020-06-10,15.6,0
2020-06-11,21.3,0
2020-06-12,24.5,0
2020-06-13,20.9,0
2020-06-14,20.1,0
2020-06-15,25.4,0
2020-06-16,25.7,0
2020-06-17,24.7,0
2020-06-18,27.3,0
2020-06-19,22.5,0
2020-06-20,24.7,0
2020-06-21,27.8,0
2020-06-22,19.3,0
2020-06-23,17.9,0
2020-06-24,20.7,0
2020-06-25,25.1,0
2020-06-26,28.5,0
2020-06-27,27.2,0
2020-06-28,26.8,0
2020-06-29,30.1,0
2020-06-30,27.6,0
2020-07-01,25.7,0
2020-07-02,28.7,0
2020-07-03,30.4,0
2020-07-04,31.1,0
2020-07-05,31.5,0
2020-07-06,31.9,0
2020-07-07,32.3,0
2020-07-08,34.2,0
2020-07-09,26.7,0
2020-07-10,28.7,0
2020-07-11,29.2,0
2020-07-12,25.5,0
2020-07-13,28,0
2020-07-14,27.1,0
2020-07-15,19.9,0
2020-07-16,23.1,0
2020-07-17,30.8,0
2020-07-18,33.6,0
2020-07-19,30.9,0
2020-07-20,23.7,0
2020-07-21,23.4,0
2020-07-22,25.3,0
2020-07-23,26.9,0
2020-07-24,31,0
2020-07-25,32.6,0
2020-07-26,27.7,0
2020-07-27,27.6,0
2020-07-28,27.4,0
2020-07-29,28,0
2020-07-30,27.7,0
2020-07-31,24.7,0
2020-08-01,23,0
2020-08-02,23,0
2020-08-03,16.4,0
2020-08-04,15.8,0
2020-08-05,16.3,0
2020-08-06,18.9,0
2020-08-07,25.5,0
2020-08-08,29.5,0
2020-08-09,30.7,0
2020-08-10,23.5,0
2020-08-11,21.9,0
2020-08-12,27.5,0
2020-08-13,30.1,0
2020-08-14,29.2,0
2020-08-15,24.1,0
2020-08-16,24.8,0
2020-08-17,22.7,0
2020-08-18,20,0
2020-08-19,20.9,0
2020-08-20,21.4,0
2020-08-21,24.4,0
2020-08-22,27,0
2020-08-23,31.8,0
2020-08-24,32.8,0
2020-08-25,31.5,0
2020-08-26,31.9,0
2020-08-27,32,0
2020-08-28,31.6,0
2020-08-29,21.7,0
2020-08-30,19.7,0
2020-08-31,19,0
2020-09-01,15.2,0
2020-09-02,24.1,0
2020-09-03,22.1,0
2020-09-04,18.4,0
