Date,Temp
2/1/20,30.1
2/2/20,41.1
2/3/20,40.6
2/4/20,35.7
2/5/20,27.1
2/6/20,26.2
2/7/20,29.3
2/8/20,26.9
2/9/20,30
2/10/20,34.5
2/11/20,32.2
2/12/20,29.7
2/13/20,26.1
2/14/20,13.4
2/15/20,22.1
2/16/20,34.7
2/17/20,29.9
2/18/20,35.6
2/19/20,26.3
2/20/20,20.7
2/21/20,24.9
2/22/20,34.5
2/23/20,40.1
2/24/20,40.1
2/25/20,36.2
2/26/20,29.1
2/27/20,22.1
2/28/20,23.3
3/1/20,32.5
3/2/20,46.4
3/3/20,40.4
3/4/20,38.2
3/5/20,36.5
3/6/20,34.1
3/7/20,32.9
3/8/20,47.4
3/9/20,54.3
3/10/20,47.2
3/11/20,38.4
3/12/20,43.4
3/13/20,43.4
3/14/20,34.6
3/15/20,36.5
3/16/20,35.7
3/17/20,42.7
3/18/20,38.5
3/19/20,43.2
3/20/20,49.9
3/21/20,30.3
3/22/20,30.5
3/23/20,36.9
3/24/20,38.6
3/25/20,43.1
3/26/20,49.3
3/27/20,41.1
3/28/20,45.4
3/29/20,52
3/30/20,43.8
3/31/20,41.6
4/1/20,44.8
4/2/20,48.8
4/3/20,48.5
4/4/20,47.6
4/5/20,46.5
4/6/20,46.3
4/7/20,55.68
4/8/20,60.08
4/9/20,43.1
4/10/20,38.7
4/11/20,45.1
4/12/20,52.2
4/13/20,46.1
4/14/20,35.9
4/15/20,31.6
4/16/20,34.2
4/17/20,33.1
4/18/20,41.2
4/19/20,49.2
4/20/20,44.7
4/21/20,40.4
4/22/20,33.2
4/23/20,40.6
4/24/20,47.7
4/25/20,48
4/26/20,53.2
4/27/20,50.8
4/28/20,58.4
4/29/20,60.34
4/30/20,50.9
5/1/20,54.2
5/2/20,62.06
5/3/20,63.36
5/4/20,48.4
5/5/20,44.8
5/6/20,49.8
5/7/20,54.86
5/8/20,39.9
5/9/20,39.9
5/10/20,48.2
5/11/20,40.3
5/12/20,46.6
5/13/20,46.2
5/14/20,52.8
5/15/20,63.62
5/16/20,61.26
5/17/20,56.7
5/18/20,57.7
5/19/20,61
5/20/20,58.9
5/21/20,61.62
5/22/20,61
5/23/20,63.28
5/24/20,65.84
5/25/20,75.9
5/26/20,77
5/27/20,73.9
5/28/20,72.8
5/29/20,65.04
5/30/20,62.18
5/31/20,54.6
6/1/20,60.66
6/2/20,65.96
6/3/20,76.8
6/4/20,66.34
6/5/20,75.5
6/6/20,66.52
6/7/20,63.5
6/8/20,63.84
6/9/20,66.54
6/10/20,78.7
6/11/20,65.36
6/12/20,63.34
6/13/20,59.86
6/14/20,60.02
6/15/20,62.18
6/16/20,64.82
6/17/20,65.28
6/18/20,66.42
6/19/20,66.96
6/20/20,78
6/21/20,77.3
6/22/20,74.8
6/23/20,65.94
6/24/20,64.8
6/25/20,65.12
6/26/20,66
6/27/20,75.3
6/28/20,67.04
6/29/20,76.6
6/30/20,77.1
7/1/20,77.4
7/2/20,79.4
7/3/20,82.1
7/4/20,80.9
7/5/20,79.9
7/6/20,81.3
7/7/20,81.7
7/8/20,80.1
7/9/20,82
7/10/20,76.4
7/11/20,76.3
7/12/20,74.5
7/13/20,66.32
7/14/20,66.64
7/15/20,77.9
7/16/20,74.1
7/17/20,76.3
7/18/20,80.2
7/19/20,78.5
7/20/20,76.7
7/21/20,74
7/22/20,76.7
7/23/20,76.4
7/24/20,66.52
7/25/20,76.8
7/26/20,80.3
7/27/20,80.9
7/28/20,75.8
7/29/20,76.2
7/30/20,74.6
7/31/20,66.62
8/1/20,71.3
8/2/20,70.2
8/3/20,72.5
8/4/20,69.2
8/5/20,64.6
8/6/20,65.16
8/7/20,65.24
8/8/20,66.36
8/9/20,78.1
8/10/20,79.9
8/11/20,77.6
8/12/20,66.64
8/13/20,66.92
8/14/20,76.8
8/15/20,77.5
8/16/20,73.4
8/17/20,66.18
8/18/20,65.22
8/19/20,64.48
8/20/20,64.96
8/21/20,66.56
8/22/20,77.1
8/23/20,78.3
8/24/20,78.7
8/25/20,77.5
8/26/20,75.1
8/27/20,82.6
8/28/20,72.7
8/29/20,71.2
8/30/20,63.5
8/31/20,65.62
9/1/20,72.6
9/2/20,72.7
9/3/20,65.94
9/4/20,63.54
9/5/20,62.5
9/6/20,62.64
9/7/20,72.9
9/8/20,62.32
9/9/20,62.84
9/10/20,63.4
9/11/20,61.18
9/12/20,63.8
9/13/20,65.78
9/14/20,61.12
9/15/20,59.66
9/16/20,61.82
9/17/20,62.18
9/18/20,53.3
9/19/20,50.9
9/20/20,54.8
9/21/20,58.08
9/22/20,59.3
9/23/20,62.26
9/24/20,63.8
9/25/20,63.52
9/26/20,64.96
9/27/20,65.88
9/28/20,61.04
9/29/20,54.8
9/30/20,53
10/1/20,51.4
10/2/20,48.1
10/3/20,48.9
10/4/20,49.9
10/5/20,47.8
10/6/20,58.2
10/7/20,61.68
10/8/20,57.3
10/9/20,59.12
10/10/20,64.82
10/11/20,58.1
10/12/20,61.36
10/13/20,57.52
10/14/20,54.5
10/15/20,55
10/16/20,44.6
10/17/20,46.8
10/18/20,52.5
10/19/20,43.8
10/20/20,47.2
10/21/20,55.6
10/22/20,51.8
10/23/20,60.28
10/24/20,43.1
10/25/20,41.8
10/26/20,44
10/27/20,40
10/28/20,45
10/29/20,45.1
10/30/20,38.1
10/31/20,40.5
11/1/20,39.8
11/2/20,38.6
11/3/20,47.1
11/4/20,57.8
11/5/20,57.4
11/6/20,58.22
11/7/20,57.5
11/8/20,57.56
11/9/20,61
11/10/20,64.24
11/11/20,49
11/12/20,39.5
11/13/20,40
11/14/20,36.2
11/15/20,45.4
11/16/20,40.5
11/17/20,34.1
11/18/20,34.4
11/19/20,50.8
11/20/20,56.3
11/21/20,41
11/22/20,34.8
11/23/20,37.5
11/24/20,34.1
11/25/20,44.4
11/26/20,47.6
11/27/20,43
11/28/20,37.2
11/29/20,40.5
11/30/20,34.7
12/1/20,30
12/2/20,35.3
12/3/20,35.9
12/4/20,39.2
12/5/20,32.9
12/6/20,29.7
12/7/20,31
12/8/20,31.2
12/9/20,37.9
12/10/20,35.9
12/11/20,40.4
12/12/20,46
12/13/20,34
12/14/20,31.8
12/15/20,24.6
12/16/20,28.1
12/17/20,29
12/18/20,29.5
12/19/20,32.9
12/20/20,34.8
12/21/20,35.2
12/22/20,37.1
12/23/20,42.4
12/24/20,30.8
12/25/20,20.9
12/26/20,23.8
12/27/20,30.8
12/28/20,33.8
12/29/20,27.1
12/30/20,35.1
12/31/20,29.4
1/1/21,29.5
1/2/21,33.7
1/3/21,33.7
1/4/21,32.9
1/5/21,32.3
1/6/21,35.7
1/7/21,33.6
1/8/21,29.7
1/9/21,30.5
1/10/21,28.2
1/11/21,28.4
1/12/21,28.8
1/13/21,36.1
1/14/21,38.3
1/15/21,35.7
1/16/21,29.8
1/17/21,34
1/18/21,31.3
1/19/21,30.2
1/20/21,23.3
1/21/21,34.3
1/22/21,26.8
1/23/21,21.7
1/24/21,25.1
1/25/21,27.3
1/26/21,30.4
1/27/21,22.7
1/28/21,20.2
1/29/21,19.6
1/30/21,22.3
1/31/21,28.4
2/1/21,27.5
2/2/21,26.6
2/3/21,26.5
2/4/21,27.2
2/5/21,20.6
2/6/21,14.6
2/7/21,12.3
2/8/21,12.5
2/9/21,16.8
2/10/21,14
2/11/21,17.9
2/12/21,20.3
2/13/21,19.4
2/14/21,17.1
2/15/21,15
2/16/21,14.9
2/17/21,10.7
2/18/21,20.9
2/19/21,21.4
2/20/21,19.2
2/21/21,20.1
2/22/21,33.3
2/23/21,39.2
2/24/21,40.2
2/25/21,32.6
2/26/21,31.1
2/27/21,39.9
2/28/21,42.9
3/1/21,33.3
3/2/21,27.1
3/3/21,41.6
3/4/21,30.6
3/5/21,30.4
3/6/21,32
3/7/21,29.4
3/8/21,46.2
3/9/21,46.1
3/10/21,56.88
3/11/21,60.86
3/12/21,45.7
3/13/21,38.5
3/14/21,42.3
3/15/21,29.5
3/16/21,40.9
3/17/21,43.3
3/18/21,39
3/19/21,35.4
3/20/21,38.4
3/21/21,44.7
3/22/21,54.4
3/23/21,56
3/24/21,61.36
3/25/21,54
3/26/21,46.7
3/27/21,47.1
3/28/21,45.5
3/29/21,40.1
3/30/21,57.48
3/31/21,45.5
4/1/21,30.8
4/2/21,34.2
4/3/21,47.1
4/4/21,54.86
4/5/21,50.2
4/6/21,58.56
4/7/21,62.58
4/8/21,60.68
4/9/21,61.88
4/10/21,61.32
4/11/21,54.1
4/12/21,53.6
4/13/21,54.2
4/14/21,47.1
4/15/21,41.3
4/16/21,45
4/17/21,47.8
4/18/21,51.8
4/19/21,51
4/20/21,36.2
4/21/21,35.5
4/22/21,38.5
4/23/21,48.3
4/24/21,49.1
4/25/21,47.2
4/26/21,43.5
4/27/21,61.22
4/28/21,65.22
4/29/21,50.7
4/30/21,49.3
5/1/21,54.64
5/2/21,65.82
5/3/21,60.8
5/4/21,58.4
5/5/21,49.2
5/6/21,46.8
5/7/21,47
5/8/21,47.5
5/9/21,45.2
5/10/21,46.5
5/11/21,46.2
5/12/21,51.7
