Date,Temp
2/1/20,55.1
2/2/20,60.42
2/3/20,64.22
2/4/20,66.2
2/5/20,48.5
2/6/20,42.5
2/7/20,55.94
2/8/20,60.02
2/9/20,65
2/10/20,65.56
2/11/20,53.8
2/12/20,53.8
2/13/20,49.3
2/14/20,47.4
2/15/20,54.5
2/16/20,62.96
2/17/20,65.14
2/18/20,66
2/19/20,55.9
2/20/20,48.6
2/21/20,47.4
2/22/20,49.9
2/23/20,61.06
2/24/20,63.88
2/25/20,60.16
2/26/20,50
2/27/20,46.6
2/28/20,55.98
3/1/20,65.08
3/2/20,71.3
3/3/20,73.4
3/4/20,64.08
3/5/20,61.74
3/6/20,60.3
3/7/20,53.7
3/8/20,60.52
3/9/20,65.4
3/10/20,66.02
3/11/20,66.1
3/12/20,74.4
3/13/20,74.2
3/14/20,74.9
3/15/20,74
3/16/20,65.88
3/17/20,74.5
3/18/20,75.2
3/19/20,77.9
3/20/20,65.5
3/21/20,57.1
3/22/20,63.64
3/23/20,75.6
3/24/20,77.9
3/25/20,77.6
3/26/20,76.4
3/27/20,79.3
3/28/20,66.18
3/29/20,63.64
3/30/20,72.8
3/31/20,65.72
4/1/20,61.98
4/2/20,64.76
4/3/20,72
4/4/20,59.6
4/5/20,63.4
4/6/20,66.02
4/7/20,78.4
4/8/20,78.9
4/9/20,76.8
4/10/20,65.68
4/11/20,64.98
4/12/20,79.7
4/13/20,61.44
4/14/20,59.26
4/15/20,59.22
4/16/20,61.02
4/17/20,65.36
4/18/20,64.94
4/19/20,74.2
4/20/20,66.26
4/21/20,74.2
4/22/20,77.3
4/23/20,79.4
4/24/20,66.5
4/25/20,70.9
4/26/20,65.54
4/27/20,65.58
4/28/20,78.1
4/29/20,66.4
4/30/20,65.36
5/1/20,66.06
5/2/20,76.6
5/3/20,79.2
5/4/20,79.8
5/5/20,81.5
5/6/20,74.6
5/7/20,66.3
5/8/20,78.3
5/9/20,65.18
5/10/20,64.5
5/11/20,65.72
5/12/20,75.1
5/13/20,77.5
5/14/20,78.9
5/15/20,75.7
5/16/20,73.5
5/17/20,75.5
5/18/20,79.6
5/19/20,83
5/20/20,82.8
5/21/20,82.3
5/22/20,83.2
5/23/20,83.8
5/24/20,77.7
5/25/20,75.1
5/26/20,76.7
5/27/20,73.5
5/28/20,76
5/29/20,79
5/30/20,79.2
5/31/20,77.6
6/1/20,78.2
6/2/20,81.1
6/3/20,79.1
6/4/20,81.8
6/5/20,82.6
6/6/20,84.6
6/7/20,85
6/8/20,86.7
6/9/20,87.1
6/10/20,83.4
6/11/20,79.8
6/12/20,79.7
6/13/20,81.3
6/14/20,81.1
6/15/20,82.4
6/16/20,82.8
6/17/20,82.7
6/18/20,81.9
6/19/20,80.6
6/20/20,80.8
6/21/20,82.7
6/22/20,76.7
6/23/20,80.2
6/24/20,78.7
6/25/20,78
6/26/20,81.8
6/27/20,84.2
6/28/20,84.9
6/29/20,85.7
6/30/20,86.6
7/1/20,86.9
7/2/20,88
7/3/20,85.1
7/4/20,84.8
7/5/20,86
7/6/20,85.7
7/7/20,84.7
7/8/20,87.6
7/9/20,87.9
7/10/20,87.8
7/11/20,88.9
7/12/20,87.6
7/13/20,89
7/14/20,87.8
7/15/20,88.1
7/16/20,88.2
7/17/20,84
7/18/20,83.5
7/19/20,83.6
7/20/20,80.8
7/21/20,79.6
7/22/20,81.5
7/23/20,86
7/24/20,84.3
7/25/20,80.6
7/26/20,80.6
7/27/20,82.1
7/28/20,80.6
7/29/20,79.6
7/30/20,86.1
7/31/20,87
8/1/20,78.6
8/2/20,81.6
8/3/20,85
8/4/20,85.9
8/5/20,86.2
8/6/20,85.9
8/7/20,86
8/8/20,85.5
8/9/20,85.5
8/10/20,86.6
8/11/20,87.4
8/12/20,88.3
8/13/20,88.3
8/14/20,88.2
8/15/20,89.3
8/16/20,89.6
8/17/20,83
8/18/20,85.6
8/19/20,84.8
8/20/20,83
8/21/20,82.3
8/22/20,81.1
8/23/20,84
8/24/20,83.7
8/25/20,85.9
8/26/20,83.7
8/27/20,87.1
8/28/20,86.7
8/29/20,87.5
8/30/20,87.1
8/31/20,89.1
9/1/20,89.4
9/2/20,89.5
9/3/20,86.4
9/4/20,82
9/5/20,80
9/6/20,80.9
9/7/20,80.4
9/8/20,80.1
9/9/20,82.7
9/10/20,79.3
9/11/20,79.8
9/12/20,83.8
9/13/20,82.7
9/14/20,82.8
9/15/20,84.6
9/16/20,84
9/17/20,82.6
9/18/20,80.3
9/19/20,77.8
9/20/20,71.8
9/21/20,72.3
9/22/20,75.1
9/23/20,74.5
9/24/20,71.8
9/25/20,74.7
9/26/20,75.6
9/27/20,81.7
9/28/20,74.9
9/29/20,64.94
9/30/20,63.92
