Date,Temp
2/1/20,39.1
2/2/20,38.5
2/3/20,44.2
2/4/20,46.5
2/5/20,41.4
2/6/20,40.5
2/7/20,41.5
2/8/20,35.2
2/9/20,38.2
2/10/20,43.8
2/11/20,45.8
2/12/20,41.5
2/13/20,40.5
2/14/20,31
2/15/20,22.9
2/16/20,36.3
2/17/20,41.1
2/18/20,42.7
2/19/20,43.5
2/20/20,32.3
2/21/20,28.3
2/22/20,38.7
2/23/20,41.7
2/24/20,43.7
2/25/20,45.5
2/26/20,45.9
2/27/20,40.4
2/28/20,35.4
3/1/20,34.8
3/2/20,44.7
3/3/20,47.9
3/4/20,50.4
3/5/20,43.7
3/6/20,40.6
3/7/20,40.4
3/8/20,45.6
3/9/20,50.1
3/10/20,52.8
3/11/20,49.6
3/12/20,43.6
3/13/20,57.38
3/14/20,49.5
3/15/20,45.6
3/16/20,39
3/17/20,46.2
3/18/20,45.8
3/19/20,46.8
3/20/20,55.96
3/21/20,52.38
3/22/20,38.3
3/23/20,39
3/24/20,44.5
3/25/20,43.3
3/26/20,44.4
3/27/20,56.38
3/28/20,48.4
3/29/20,47.5
3/30/20,44.9
3/31/20,42.7
4/1/20,46
4/2/20,49.2
4/3/20,48.9
4/4/20,49.3
4/5/20,49.1
4/6/20,52.8
4/7/20,54.7
4/8/20,54.4
4/9/20,50
4/10/20,44
4/11/20,47.1
4/12/20,49.6
4/13/20,55.9
4/14/20,51.1
4/15/20,47.2
4/16/20,44.9
4/17/20,42.6
4/18/20,43.7
4/19/20,48.2
4/20/20,51.1
4/21/20,48.5
4/22/20,43.8
4/23/20,43.8
4/24/20,46.4
4/25/20,50.1
4/26/20,47.8
4/27/20,44.2
4/28/20,49.6
4/29/20,48.5
4/30/20,53.5
5/1/20,56.3
5/2/20,61.56
5/3/20,61.5
5/4/20,61.74
5/5/20,52.7
5/6/20,48.2
5/7/20,54.9
5/8/20,50
5/9/20,41.2
5/10/20,51.2
5/11/20,51.7
5/12/20,51.6
5/13/20,49.5
5/14/20,53.6
5/15/20,62.74
5/16/20,64.8
5/17/20,56.7
5/18/20,60.6
5/19/20,59.82
