Date,Temp
2/1/20,33
2/2/20,39.8
2/3/20,28.8
2/4/20,16.5
2/5/20,20.1
2/6/20,22
2/7/20,23.9
2/8/20,9.4
2/9/20,18.4
2/10/20,17.7
2/11/20,24.9
2/12/20,23.8
2/13/20,-4.8
2/14/20,3.1
2/15/20,26.6
2/16/20,20.2
2/17/20,28.7
2/18/20,17.4
2/19/20,6.4
2/20/20,4.8
2/21/20,26.9
2/22/20,31.1
2/23/20,35.3
2/24/20,33.4
2/25/20,32.7
2/26/20,24.8
2/27/20,20.6
2/28/20,21.5
3/1/20,39.1
3/2/20,33.1
3/3/20,36.4
3/4/20,33.6
3/5/20,37.2
3/6/20,31.1
3/7/20,43.9
3/8/20,53
3/9/20,37.6
3/10/20,33.4
3/11/20,37.5
3/12/20,39.8
3/13/20,31.7
3/14/20,27.5
3/15/20,31.3
3/16/20,34.8
3/17/20,35.6
3/18/20,40.1
3/19/20,38.2
3/20/20,27.7
3/21/20,27.9
3/22/20,35.9
3/23/20,36.6
3/24/20,41.8
3/25/20,42.8
3/26/20,41
3/27/20,48
3/28/20,44.6
3/29/20,40.2
3/30/20,46.1
3/31/20,44.6
4/1/20,45.3
4/2/20,53
4/3/20,29.9
4/4/20,31.7
4/5/20,43
4/6/20,50.4
4/7/20,58.4
4/8/20,49.2
4/9/20,35.4
4/10/20,38.8
4/11/20,47.3
4/12/20,32.7
4/13/20,28.5
4/14/20,25
4/15/20,27.3
4/16/20,36.1
4/17/20,41
4/18/20,49.8
4/19/20,43.7
4/20/20,46
4/21/20,40
4/22/20,55.9
4/23/20,49
4/24/20,53.5
4/25/20,58.76
4/26/20,55.4
4/27/20,61.42
4/28/20,51.9
4/29/20,51.4
4/30/20,58.3
5/1/20,62.18
5/2/20,63.4
5/3/20,56.7
5/4/20,50.9
5/5/20,53.2
5/6/20,56.9
5/7/20,52
5/8/20,42.4
5/9/20,44.7
5/10/20,43.1
5/11/20,47.1
5/12/20,47.4
5/13/20,53.2
5/14/20,61
5/15/20,59.84
5/16/20,56.9
5/17/20,51.1
5/18/20,59
5/19/20,62.12
5/20/20,64.28
5/21/20,62.7
5/22/20,62.1
5/23/20,63.96
5/24/20,64.56
5/25/20,70.5
5/26/20,71.1
5/27/20,65.62
5/28/20,65.44
5/29/20,59.5
5/30/20,60.2
5/31/20,61.7
6/1/20,77.2
6/2/20,77.5
6/3/20,66.42
6/4/20,66.88
6/5/20,65.7
6/6/20,64.98
6/7/20,66.48
6/8/20,84.8
6/9/20,74.4
6/10/20,64.06
6/11/20,64.44
6/12/20,65.24
6/13/20,61.88
6/14/20,63.82
6/15/20,66.5
6/16/20,79.2
6/17/20,79
6/18/20,73.7
6/19/20,65.92
6/20/20,65.58
6/21/20,65.72
6/22/20,65.22
6/23/20,64.38
6/24/20,64.64
6/25/20,66.28
6/26/20,76.9
6/27/20,76.5
6/28/20,75.4
6/29/20,72.3
6/30/20,79.4
7/1/20,80
7/2/20,82.7
7/3/20,81.5
7/4/20,82.5
7/5/20,83.8
7/6/20,80
7/7/20,78.8
7/8/20,82.6
7/9/20,76.3
7/10/20,76.1
7/11/20,74.2
7/12/20,74.1
7/13/20,76.7
7/14/20,72.9
7/15/20,65.56
7/16/20,66.74
7/17/20,80.7
7/18/20,80.4
7/19/20,75.4
7/20/20,73
7/21/20,71.7
7/22/20,63.28
7/23/20,64.98
7/24/20,80.2
7/25/20,81
7/26/20,75.6
7/27/20,74.7
