Date,Temp
2/1/20,35.5
2/2/20,43.1
2/3/20,38.6
2/4/20,34.4
2/5/20,29.4
2/6/20,28.8
2/7/20,31.1
2/8/20,31.9
2/9/20,32
2/10/20,30.6
2/11/20,30.2
2/12/20,30.9
2/13/20,16.8
2/14/20,6.1
2/15/20,24.3
2/16/20,30.9
2/17/20,35.8
2/18/20,34.7
2/19/20,22.6
2/20/20,17.3
2/21/20,25.9
2/22/20,38.9
2/23/20,44.4
2/24/20,38.8
2/25/20,36.6
2/26/20,29.3
2/27/20,27.1
2/28/20,23.8
3/1/20,46.6
3/2/20,41.3
3/3/20,39.5
3/4/20,41
3/5/20,42.3
3/6/20,34.1
3/7/20,39.1
3/8/20,56.46
3/9/20,54
3/10/20,41.5
3/11/20,40.9
3/12/20,46.4
3/13/20,42.1
3/14/20,36.9
3/15/20,36.1
3/16/20,36.1
3/17/20,40.8
3/18/20,42.2
3/19/20,49.5
3/20/20,40.9
3/21/20,30
3/22/20,31.8
3/23/20,36.9
3/24/20,39.7
3/25/20,45.9
3/26/20,45.2
3/27/20,43.5
3/28/20,50.3
3/29/20,49.7
3/30/20,44.4
3/31/20,39.1
4/1/20,43.6
4/2/20,47.8
4/3/20,58.12
4/4/20,43.1
4/5/20,42.3
4/6/20,51.1
4/7/20,62.64
4/8/20,57.54
4/9/20,43.2
4/10/20,41.5
4/11/20,52.5
4/12/20,56.6
4/13/20,40.3
4/14/20,34.8
4/15/20,33.5
4/16/20,38.1
4/17/20,37.4
4/18/20,47.1
4/19/20,50.5
4/20/20,51.3
4/21/20,43.8
4/22/20,47.4
4/23/20,49.1
4/24/20,44.3
4/25/20,44.1
4/26/20,51
4/27/20,56.78
4/28/20,61.38
4/29/20,52.4
4/30/20,47.3
5/1/20,56.5
5/2/20,64.62
5/3/20,62.74
5/4/20,43.8
5/5/20,45.5
5/6/20,52.1
5/7/20,54.3
5/8/20,40.8
5/9/20,46.7
5/10/20,45.9
5/11/20,45.4
5/12/20,50.1
5/13/20,58.34
5/14/20,61.7
5/15/20,64.58
5/16/20,56.7
5/17/20,61.72
5/18/20,58.9
5/19/20,54.7
5/20/20,59.3
5/21/20,62.2
5/22/20,62.7
5/23/20,63.7
5/24/20,76.9
5/25/20,77.1
5/26/20,79.6
5/27/20,78.5
5/28/20,72.8
5/29/20,63.94
5/30/20,61.82
5/31/20,60.16
6/1/20,63.24
6/2/20,80.8
6/3/20,76.9
6/4/20,78.1
6/5/20,79.7
6/6/20,65.48
6/7/20,64.22
6/8/20,67.24
6/9/20,78.4
6/10/20,66.26
6/11/20,65.5
6/12/20,63.5
6/13/20,58.7
6/14/20,61.46
6/15/20,62.28
6/16/20,65.24
6/17/20,76.9
6/18/20,78.5
6/19/20,82
6/20/20,80.3
6/21/20,75.9
6/22/20,75
6/23/20,65.78
6/24/20,65.82
6/25/20,66.82
6/26/20,73.7
6/27/20,79.9
6/28/20,77.9
6/29/20,79.4
6/30/20,80.8
7/1/20,80.9
7/2/20,80.4
7/3/20,81.3
7/4/20,80.5
7/5/20,82.9
7/6/20,85.8
7/7/20,84.4
7/8/20,82.1
7/9/20,84.3
7/10/20,78.2
7/11/20,78.1
7/12/20,74.3
7/13/20,74.3
7/14/20,77.3
7/15/20,77.3
7/16/20,75.2
7/17/20,79.3
7/18/20,84.4
7/19/20,79.3
7/20/20,77.5
7/21/20,76.4
7/22/20,78.8
7/23/20,73
7/24/20,76.5
7/25/20,81.4
7/26/20,85.5
7/27/20,79.1
7/28/20,79.4
7/29/20,79.3
7/30/20,76.2
7/31/20,73.9
8/1/20,74.3
8/2/20,73.6
8/3/20,65.3
8/4/20,64.3
8/5/20,64.64
8/6/20,73.5
8/7/20,66.92
8/8/20,79.3
8/9/20,81.3
8/10/20,77.7
8/11/20,75.3
8/12/20,67.16
8/13/20,78.2
8/14/20,79.2
8/15/20,78.1
8/16/20,75.3
8/17/20,77.7
8/18/20,73.1
8/19/20,66.32
8/20/20,67.02
8/21/20,77.6
8/22/20,78.4
8/23/20,79.5
8/24/20,84.7
8/25/20,81.9
8/26/20,84.6
8/27/20,85.7
8/28/20,85.5
8/29/20,77
8/30/20,65.94
8/31/20,75.9
9/1/20,71.5
9/2/20,76.4
9/3/20,75.5
9/4/20,64.88
9/5/20,66.46
9/6/20,65.64
9/7/20,72.5
9/8/20,62.3
9/9/20,61.8
9/10/20,61.26
9/11/20,63.86
9/12/20,67.6
9/13/20,64.78
9/14/20,64.02
9/15/20,65.08
9/16/20,66
9/17/20,64.36
9/18/20,57.4
9/19/20,55.4
9/20/20,60.7
9/21/20,62.66
9/22/20,63.44
9/23/20,64.98
9/24/20,64.7
9/25/20,65.84
9/26/20,66.02
9/27/20,64.9
9/28/20,55.6
9/29/20,53.7
9/30/20,57.5
10/1/20,51
10/2/20,48.8
10/3/20,50.2
10/4/20,48.2
10/5/20,51.3
10/6/20,61.42
10/7/20,64.12
10/8/20,59.28
10/9/20,62.76
10/10/20,64.02
10/11/20,62.96
10/12/20,60.56
10/13/20,58.88
10/14/20,60.6
10/15/20,52.6
10/16/20,44.8
10/17/20,52.6
10/18/20,48.3
10/19/20,41.7
10/20/20,45.7
10/21/20,51.1
10/22/20,59.2
10/23/20,55.2
10/24/20,40.3
10/25/20,42.5
10/26/20,36.4
10/27/20,35.8
10/28/20,41.1
10/29/20,42.9
10/30/20,36.6
10/31/20,45.7
11/1/20,38.6
11/2/20,39.8
11/3/20,56.38
11/4/20,61.72
11/5/20,61.9
