Date,Temp
2/1/20,39.5
2/2/20,38.4
2/3/20,46.6
2/4/20,51.8
2/5/20,42.4
2/6/20,41.1
2/7/20,45
2/8/20,36.7
2/9/20,39
2/10/20,44.1
2/11/20,48
2/12/20,42.1
2/13/20,42.5
2/14/20,32.1
2/15/20,24
2/16/20,38.6
2/17/20,43.2
2/18/20,48.6
2/19/20,45.7
2/20/20,33.7
2/21/20,28.9
2/22/20,38.2
2/23/20,41.8
2/24/20,45.9
2/25/20,47.3
2/26/20,47.7
2/27/20,39.6
2/28/20,36.5
3/1/20,36.2
3/2/20,48.8
3/3/20,51.3
3/4/20,51.6
3/5/20,46.4
3/6/20,39.2
3/7/20,40.5
3/8/20,46.3
3/9/20,56
3/10/20,59.92
3/11/20,51.9
3/12/20,48.4
3/13/20,59.66
3/14/20,51.3
3/15/20,46.6
3/16/20,42.9
3/17/20,47.8
3/18/20,48.9
3/19/20,49.1
3/20/20,60.78
3/21/20,54.08
3/22/20,40.9
3/23/20,41.3
3/24/20,47.6
3/25/20,44.6
3/26/20,47.3
3/27/20,58.82
3/28/20,49.6
3/29/20,49.5
3/30/20,50.5
3/31/20,45.2
4/1/20,46.9
4/2/20,49.5
4/3/20,51.5
4/4/20,51.3
4/5/20,57.44
4/6/20,59.34
4/7/20,56.5
4/8/20,60.78
4/9/20,53.2
4/10/20,45
4/11/20,47.2
4/12/20,57.08
4/13/20,62.74
4/14/20,52.1
4/15/20,46.1
4/16/20,45.3
4/17/20,45
4/18/20,46.2
4/19/20,50.6
4/20/20,53.1
4/21/20,51.7
4/22/20,45.4
4/23/20,47.5
4/24/20,48
4/25/20,56.24
4/26/20,49
4/27/20,47
4/28/20,52.7
4/29/20,58.72
4/30/20,62.46
5/1/20,61.76
5/2/20,62.04
5/3/20,63.4
5/4/20,63.24
5/5/20,53.9
5/6/20,49.9
5/7/20,55.5
5/8/20,51.3
5/9/20,41.4
5/10/20,52.1
5/11/20,52.6
5/12/20,51.6
5/13/20,54.7
5/14/20,60.3
5/15/20,66.2
5/16/20,66.22
5/17/20,61.78
5/18/20,60.72
5/19/20,60.32
5/20/20,55.2
5/21/20,59
5/22/20,62.86
5/23/20,64.96
5/24/20,60.9
5/25/20,63.1
5/26/20,64.6
5/27/20,65.52
5/28/20,73
5/29/20,77
5/30/20,75.2
5/31/20,64.18
6/1/20,62.2
6/2/20,64.44
6/3/20,73.9
6/4/20,78.1
6/5/20,75.4
6/6/20,79
6/7/20,72.4
6/8/20,65.58
6/9/20,67.12
6/10/20,80.2
6/11/20,76.5
6/12/20,78
6/13/20,65.56
6/14/20,63.78
6/15/20,64.2
6/16/20,64.68
6/17/20,64.94
6/18/20,66.06
6/19/20,74.8
6/20/20,73.4
6/21/20,76.2
6/22/20,78.1
6/23/20,80.4
6/24/20,79.9
6/25/20,77.6
6/26/20,78.1
6/27/20,80.2
6/28/20,82
6/29/20,81.7
6/30/20,77.4
7/1/20,75.5
7/2/20,82.1
7/3/20,86.5
7/4/20,80.4
7/5/20,83.3
7/6/20,77.9
7/7/20,78.4
7/8/20,81.2
7/9/20,81.6
7/10/20,75
7/11/20,81.2
7/12/20,81.8
7/13/20,79.4
7/14/20,79.9
7/15/20,78.3
7/16/20,74.3
7/17/20,78.8
7/18/20,84.9
7/19/20,85.2
7/20/20,87.7
7/21/20,87.1
7/22/20,81.7
7/23/20,81.6
7/24/20,77.5
7/25/20,80.3
7/26/20,84.6
7/27/20,86.2
7/28/20,86.4
7/29/20,85.2
7/30/20,84.1
7/31/20,76.7
8/1/20,81.4
8/2/20,84.1
8/3/20,82
8/4/20,76.7
8/5/20,79.6
8/6/20,76.2
8/7/20,73.1
8/8/20,76.6
8/9/20,78.7
8/10/20,82.4
8/11/20,81.6
8/12/20,79.7
8/13/20,77.2
8/14/20,78.7
8/15/20,75.2
8/16/20,70.1
8/17/20,66.42
8/18/20,75.9
8/19/20,74.2
8/20/20,73.9
8/21/20,76
8/22/20,79.1
8/23/20,76.9
8/24/20,80.1
8/25/20,82.9
8/26/20,76.2
8/27/20,83.2
8/28/20,78.6
8/29/20,75.6
8/30/20,73.6
8/31/20,66.04
9/1/20,73.5
9/2/20,78
9/3/20,79
9/4/20,79.6
9/5/20,73.1
9/6/20,66.48
9/7/20,66.56
9/8/20,74.9
9/9/20,74.8
9/10/20,76.6
9/11/20,74.9
9/12/20,65.24
9/13/20,65.74
9/14/20,66.2
9/15/20,60.9
9/16/20,62.24
9/17/20,65.56
9/18/20,64.88
9/19/20,56.7
9/20/20,55.9
9/21/20,58.24
9/22/20,60.14
9/23/20,63.72
9/24/20,65.02
9/25/20,64.36
9/26/20,65.48
9/27/20,72
9/28/20,73.3
9/29/20,70.5
9/30/20,63.4
10/1/20,63.72
10/2/20,60.66
10/3/20,58.94
10/4/20,59.8
10/5/20,61.04
10/6/20,60.98
10/7/20,64.14
10/8/20,62.1
10/9/20,60.36
10/10/20,63.72
10/11/20,64.04
10/12/20,56.5
10/13/20,60.1
10/14/20,60.28
10/15/20,63.12
10/16/20,58.86
10/17/20,52.2
10/18/20,55.9
10/19/20,60.26
10/20/20,62.56
10/21/20,63.4
10/22/20,64.98
10/23/20,64.06
10/24/20,62.62
10/25/20,49
10/26/20,57.4
10/27/20,59.5
10/28/20,61.18
10/29/20,53.8
10/30/20,45.7
10/31/20,41.9
11/1/20,48.6
11/2/20,42.9
11/3/20,48.5
11/4/20,54.46
11/5/20,56.94
11/6/20,57.96
11/7/20,59.02
11/8/20,59
11/9/20,59.7
11/10/20,60.96
11/11/20,64.8
11/12/20,58
11/13/20,49.2
11/14/20,48.1
11/15/20,52.9
11/16/20,50.5
11/17/20,43.8
11/18/20,35.7
11/19/20,40.3
11/20/20,51.8
11/21/20,54.4
11/22/20,51.8
11/23/20,51.8
11/24/20,43.6
11/25/20,49.6
11/26/20,61.02
11/27/20,53.8
11/28/20,51.3
11/29/20,45.7
11/30/20,58.64
12/1/20,44.4
12/2/20,39.7
12/3/20,43.3
12/4/20,45.3
12/5/20,44.1
12/6/20,39
12/7/20,33
12/8/20,35.4
12/9/20,36.7
12/10/20,42.5
12/11/20,43.6
12/12/20,49.6
12/13/20,52.4
12/14/20,40.8
12/15/20,34.4
12/16/20,30.5
12/17/20,30.9
12/18/20,29.5
12/19/20,28
12/20/20,35.1
12/21/20,37.1
12/22/20,41.7
12/23/20,39.5
12/24/20,54.4
12/25/20,43.4
12/26/20,27.5
12/27/20,30.7
12/28/20,42
12/29/20,36.4
12/30/20,36.2
12/31/20,44.4
1/1/21,34.9
1/2/21,44.7
1/3/21,37.3
1/4/21,39.4
1/5/21,40
1/6/21,39.6
1/7/21,37.2
1/8/21,32.2
1/9/21,35.4
1/10/21,37.5
1/11/21,32.9
1/12/21,35.3
1/13/21,36.4
1/14/21,40.3
1/15/21,43.7
1/16/21,43.3
1/17/21,40
1/18/21,39.8
1/19/21,37.2
1/20/21,36.1
1/21/21,34
1/22/21,39.1
1/23/21,31.3
1/24/21,29.6
1/25/21,33.3
1/26/21,35.6
1/27/21,35.8
1/28/21,29.7
1/29/21,24.5
1/30/21,26.8
1/31/21,27.4
2/1/21,29.9
2/2/21,32.5
2/3/21,32.9
2/4/21,35.6
2/5/21,41.6
2/6/21,38.6
2/7/21,34.4
2/8/21,25.8
2/9/21,31.7
2/10/21,31.8
2/11/21,30.2
2/12/21,26.9
2/13/21,28.1
2/14/21,31.2
2/15/21,35
2/16/21,41.4
2/17/21,28.4
2/18/21,27.8
2/19/21,30.8
2/20/21,29.4
2/21/21,29.1
2/22/21,33
2/23/21,40.4
2/24/21,44.8
2/25/21,44.5
2/26/21,41.1
2/27/21,42.3
2/28/21,42
3/1/21,44
3/2/21,32.1
3/3/21,42.2
3/4/21,41.3
3/5/21,32.7
3/6/21,35
3/7/21,35.7
3/8/21,36.4
3/9/21,54.1
3/10/21,53.66
3/11/21,57.72
3/12/21,61.46
3/13/21,45.1
3/14/21,47.6
3/15/21,34.9
3/16/21,36.8
3/17/21,43
3/18/21,46.3
3/19/21,42.7
3/20/21,43.9
3/21/21,49
3/22/21,48.7
3/23/21,54.3
3/24/21,54.1
3/25/21,57.2
3/26/21,64.36
3/27/21,59.74
3/28/21,59.66
3/29/21,49.6
3/30/21,51.9
3/31/21,59.58
4/1/21,46.2
4/2/21,36.7
4/3/21,42.2
4/4/21,56.92
4/5/21,59.64
4/6/21,60.84
4/7/21,59.8
4/8/21,58.34
4/9/21,53.7
4/10/21,59.64
4/11/21,59.86
4/12/21,48.7
4/13/21,53.5
4/14/21,56.3
4/15/21,56.9
4/16/21,49.5
4/17/21,51.9
4/18/21,56.7
4/19/21,55.9
4/20/21,60.64
4/21/21,57.02
4/22/21,42.8
4/23/21,50.8
4/24/21,58.34
4/25/21,57
4/26/21,53.7
4/27/21,60.88
4/28/21,66.2
4/29/21,71.6
4/30/21,62.72
5/1/21,57.44
5/2/21,64.22
5/3/21,64.56
5/4/21,64.42
5/5/21,62.8
5/6/21,58.5
5/7/21,59.3
5/8/21,52.4
5/9/21,51.7
5/10/21,56.2
5/11/21,58.1
5/12/21,58.68
5/13/21,60.88
5/14/21,62.32
5/15/21,61.92
5/16/21,61.98
5/17/21,62.94
5/18/21,63.6
5/19/21,66.3
5/20/21,65.44
5/21/21,64.5
5/22/21,67.6
5/23/21,83.4
5/24/21,64.62
5/25/21,63.82
5/26/21,66.78
5/27/21,75.1
5/28/21,62.08
