Date,Temp
2/1/20,60.02
2/2/20,62.18
2/3/20,57
2/4/20,45.5
2/5/20,45
2/6/20,48.2
2/7/20,55.98
2/8/20,58.28
2/9/20,60.02
2/10/20,60.58
2/11/20,53.6
2/12/20,53.4
2/13/20,57.2
2/14/20,59.54
2/15/20,59.48
2/16/20,60.2
2/17/20,61.12
2/18/20,62.18
2/19/20,62.68
2/20/20,63.02
2/21/20,65.6
2/22/20,62.14
2/23/20,57.2
2/24/20,60.02
2/25/20,60.04
2/26/20,58.48
2/27/20,60.38
2/28/20,62.66
3/1/20,62.86
3/2/20,60.66
3/3/20,61.68
3/4/20,61.44
3/5/20,63.88
3/6/20,66.16
3/7/20,65.9
3/8/20,65.14
3/9/20,63.8
3/10/20,64.82
3/11/20,63.6
3/12/20,64.32
3/13/20,56.9
3/14/20,61.04
3/15/20,62.76
3/16/20,63.74
3/17/20,64.04
3/18/20,59.14
3/19/20,56.4
3/20/20,60.66
3/21/20,62.84
3/22/20,63.22
3/23/20,64.6
3/24/20,63.9
3/25/20,63.94
3/26/20,63.44
3/27/20,58.1
3/28/20,59.9
3/29/20,63.06
3/30/20,63.5
3/31/20,64.38
4/1/20,66.3
4/2/20,65.68
4/3/20,65.48
4/4/20,65.68
4/5/20,66.06
4/6/20,65.74
4/7/20,65.42
4/8/20,65.1
4/9/20,62.4
4/10/20,63.42
4/11/20,63.28
4/12/20,62.46
4/13/20,64.82
4/14/20,64.96
4/15/20,64.82
4/16/20,65.48
4/17/20,66
4/18/20,65.02
4/19/20,65.76
4/20/20,67.08
4/21/20,66.66
4/22/20,67.28
4/23/20,82.1
4/24/20,84.6
4/25/20,86
4/26/20,87.4
4/27/20,87.4
4/28/20,86.7
4/29/20,89.3
4/30/20,89.5
5/1/20,87.4
5/2/20,86.4
5/3/20,84.8
5/4/20,85.3
5/5/20,88.4
5/6/20,90.7
5/7/20,90.7
5/8/20,91.1
5/9/20,90.3
5/10/20,89.1
5/11/20,87.6
5/12/20,84.5
5/13/20,80.3
5/14/20,80.7
5/15/20,83
5/16/20,86.4
5/17/20,88.6
5/18/20,87.2
5/19/20,81.3
5/20/20,76.1
5/21/20,79.7
5/22/20,82
5/23/20,82.9
5/24/20,83.7
5/25/20,85.5
5/26/20,89.1
5/27/20,92.6
5/28/20,96.3
5/29/20,97.9
5/30/20,97.9
5/31/20,95.8
6/1/20,94.5
6/2/20,97.2
6/3/20,98.4
6/4/20,99
6/5/20,95.5
6/6/20,84
6/7/20,86.5
6/8/20,82.4
6/9/20,83.6
6/10/20,89.2
6/11/20,93.5
6/12/20,95.6
6/13/20,93.4
6/14/20,90.7
6/15/20,92.2
6/16/20,93
6/17/20,90.8
6/18/20,90.6
6/19/20,90.6
6/20/20,92.6
6/21/20,94.9
6/22/20,96.1
6/23/20,96.8
6/24/20,97.4
6/25/20,97.7
6/26/20,96.6
6/27/20,96.2
6/28/20,93
6/29/20,90.5
6/30/20,88.7
7/1/20,91.3
7/2/20,93.3
7/3/20,94.8
7/4/20,98.7
7/5/20,100
7/6/20,99.1
7/7/20,99.1
7/8/20,100.8
7/9/20,100.1
7/10/20,101.4
7/11/20,103.8
7/12/20,104.6
7/13/20,103.9
7/14/20,100.7
7/15/20,99.8
7/16/20,100.4
7/17/20,99.8
7/18/20,101
7/19/20,101.1
7/20/20,97.5
7/21/20,99.4
7/22/20,97.9
7/23/20,92.6
7/24/20,89.4
7/25/20,92.9
7/26/20,98.3
7/27/20,100.6
7/28/20,101.8
7/29/20,102.8
7/30/20,104.2
7/31/20,104.8
8/1/20,101.9
8/2/20,100
8/3/20,101.6
8/4/20,99.3
8/5/20,100.6
8/6/20,96.9
8/7/20,97.4
8/8/20,99.9
8/9/20,99.1
8/10/20,99.6
8/11/20,99
8/12/20,99.9
8/13/20,102.6
8/14/20,103.9
8/15/20,103.3
8/16/20,101.6
8/17/20,101.4
8/18/20,102.8
8/19/20,103.1
8/20/20,98.9
8/21/20,91.7
8/22/20,96.2
8/23/20,99.2
8/24/20,102.6
8/25/20,101.5
8/26/20,99.9
8/27/20,100
8/28/20,100.3
8/29/20,95
8/30/20,87.8
8/31/20,89.2
