Date,Temp
2/1/20,35.6
2/2/20,34.7
2/3/20,35.9
2/4/20,34.7
2/5/20,33.9
2/6/20,28.3
2/7/20,30.1
2/8/20,19.9
2/9/20,16.7
2/10/20,35.6
2/11/20,32.7
2/12/20,36.6
2/13/20,34.8
2/14/20,17.4
2/15/20,13.8
2/16/20,32.7
2/17/20,32.5
2/18/20,25.6
2/19/20,32.6
2/20/20,20.3
2/21/20,18.5
2/22/20,32.9
2/23/20,34
2/24/20,37.8
2/25/20,40.6
2/26/20,41
2/27/20,39
2/28/20,31.4
3/1/20,25.2
3/2/20,33
3/3/20,45.7
3/4/20,44.8
3/5/20,41
3/6/20,35.5
3/7/20,33.5
3/8/20,40.8
3/9/20,52.98
3/10/20,42
3/11/20,43.6
3/12/20,36.1
3/13/20,44.4
3/14/20,44.2
3/15/20,36.7
3/16/20,27.2
3/17/20,37.3
3/18/20,39.9
3/19/20,40.9
3/20/20,45.5
3/21/20,40.4
3/22/20,28.8
3/23/20,31.8
3/24/20,39.1
3/25/20,37.2
3/26/20,40.5
3/27/20,46.3
3/28/20,42.3
3/29/20,41.9
3/30/20,37.4
3/31/20,36.8
4/1/20,38.9
4/2/20,42.8
4/3/20,45.7
4/4/20,43.5
4/5/20,44.1
4/6/20,48.6
4/7/20,44.1
4/8/20,41.9
4/9/20,40.1
4/10/20,39
4/11/20,41
4/12/20,44.1
4/13/20,49.8
4/14/20,50.3
4/15/20,44.5
4/16/20,39
4/17/20,40.6
4/18/20,39.3
4/19/20,44.5
4/20/20,47.2
4/21/20,39.6
4/22/20,36.6
4/23/20,41.5
4/24/20,42.9
4/25/20,46
4/26/20,44.3
4/27/20,40.2
4/28/20,43.5
4/29/20,45.8
4/30/20,44.4
5/1/20,51.4
5/2/20,57.84
5/3/20,57.26
5/4/20,55.3
5/5/20,48.5
5/6/20,46.4
5/7/20,49.9
5/8/20,50.4
5/9/20,39.2
5/10/20,45.9
5/11/20,50.8
5/12/20,47.9
5/13/20,47.7
5/14/20,57
5/15/20,51.7
5/16/20,58.46
5/17/20,55.4
5/18/20,56.6
5/19/20,51.4
5/20/20,53.4
5/21/20,59.94
5/22/20,64.14
5/23/20,57.82
5/24/20,48.7
5/25/20,50.3
5/26/20,60.4
5/27/20,63.24
5/28/20,66.16
5/29/20,69.6
5/30/20,65.78
5/31/20,58.6
6/1/20,52.4
6/2/20,54.4
6/3/20,59.86
6/4/20,63.56
6/5/20,73
6/6/20,65.92
6/7/20,62.48
6/8/20,63
6/9/20,63.54
6/10/20,57.7
6/11/20,63.42
6/12/20,66.1
6/13/20,62.42
6/14/20,60.66
6/15/20,60.42
6/16/20,62.58
6/17/20,63.08
6/18/20,65.3
6/19/20,77.8
6/20/20,81
6/21/20,65.18
6/22/20,63.88
6/23/20,65.12
6/24/20,71.2
6/25/20,65.98
6/26/20,65.98
6/27/20,66.26
6/28/20,65.94
6/29/20,64.74
6/30/20,65.1
7/1/20,65.06
7/2/20,66.14
7/3/20,64.86
7/4/20,64.04
7/5/20,65.06
7/6/20,64.66
7/7/20,64.42
7/8/20,71
7/9/20,72.4
7/10/20,71.3
7/11/20,73.8
