STATION,NAME,DATE,AVG,TMAX,TMIN
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/1/70,,81,54
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/2/70,,79,51
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/3/70,,63,43
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/4/70,,74,40
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/5/70,,85,64
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/6/70,,73,65
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/7/70,,71,64
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/8/70,,68,44
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/9/70,,46,35
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/10/70,,57,32
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/11/70,,59,47
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/12/70,,57,45
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/13/70,,65,44
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/14/70,,55,37
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/15/70,,55,34
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/16/70,,60,30
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/17/70,,63,38
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/18/70,,62,36
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/19/70,,62,46
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/20/70,,62,46
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/21/70,,72,49
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/22/70,,62,56
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/23/70,,63,59
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/24/70,,65,59
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/25/70,,70,55
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/26/70,,62,48
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/27/70,,59,41
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/28/70,,55,36
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/29/70,,51,32
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/30/70,,48,39
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",10/31/70,,44,36
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/1/70,,47,37
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/2/70,,44,37
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/3/70,,42,35
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/4/70,,49,38
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/5/70,,59,34
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/6/70,,66,37
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/7/70,,46,35
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/8/70,,58,43
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/9/70,,56,43
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/10/70,,61,35
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/11/70,,53,41
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/12/70,,42,39
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/13/70,,45,37
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/14/70,,37,28
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/15/70,,36,20
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/16/70,,52,26
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/17/70,,51,37
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/18/70,,45,32
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/19/70,,44,37
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/20/70,,45,34
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/21/70,,52,37
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/22/70,,45,16
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/23/70,,20,9
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/24/70,,30,9
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/25/70,,52,28
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/26/70,,40,32
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/27/70,,39,31
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/28/70,,39,35
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/29/70,,52,36
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",11/30/70,,66,35
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/1/70,,66,40
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/2/70,,54,29
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/3/70,,60,32
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/4/70,,48,20
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/5/70,,42,17
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/6/70,,30,11
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/7/70,,49,24
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/8/70,,57,38
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/9/70,,42,30
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/10/70,,34,27
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/11/70,,31,28
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/12/70,,31,29
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/13/70,,35,20
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/14/70,,28,16
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/15/70,,38,19
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/16/70,,38,31
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/17/70,,38,33
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/18/70,,38,20
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/19/70,,22,11
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/20/70,,23,11
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/21/70,,27,20
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/22/70,,33,25
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/23/70,,25,6
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/24/70,,40,4
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/25/70,,25,10
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/26/70,,39,20
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/27/70,,25,10
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/28/70,,21,6
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/29/70,,29,8
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/30/70,,40,20
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",12/31/70,,40,20
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/1/71,,43,29
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/2/71,,35,23
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/3/71,,26,22
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/4/71,,23,0
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/5/71,,1,-9
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/6/71,,3,-13
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/7/71,,10,-14
